config_id,E_dft_total_eV
21882,-292590.875763
21900,-292590.893282
70620,-292590.237801
70820,-292590.801508
70837,-292590.838810
80369,-292590.253495
85176,-292590.863791
86898,-292590.805446
153669,-292590.263602
153951,-292590.824146
154062,-292590.860762
326004,-292590.279907
334746,-292590.886703
338187,-292590.828579
6206,-292590.876813
40652,-292590.878903
58857,-292590.873971
109117,-292590.880880
130922,-292590.859451
153648,-292590.258070
208390,-292590.876522
313607,-292590.835377
325353,-292590.275593
373896,-292590.855930
413759,-292590.833399
