config_id,n_tilings,energy_eV,converged,n_steps,time_sec
6206,42,-2594.865752,1,151,287.95
17695,4,-2594.837866,1,153,283.91
17697,2,-2594.766715,1,152,281.14
21900,32,-2594.891455,1,152,280.83
32136,3,-2594.771811,1,155,288.00
40534,6,-2594.827994,1,154,285.76
55437,7,-2594.816870,1,153,282.67
55441,5,-2594.766776,1,154,284.41
63328,4,-2594.738562,1,159,294.69
63405,3,-2594.727721,1,156,289.28
63458,5,-2594.754950,1,153,282.68
74235,3,-2594.790213,1,154,284.38
74241,3,-2594.800665,1,154,284.38
74281,2,-2594.725508,1,154,285.66
74295,3,-2594.760901,1,154,284.32
78969,2,-2594.729956,1,152,283.30
91192,2,-2594.755805,1,154,284.42
102623,1,-2594.822035,1,153,282.63
102629,1,-2594.766242,1,152,280.97
108518,1,-2594.812552,1,154,284.41
109046,1,-2594.808745,1,153,282.70
109050,1,-2594.866950,1,154,285.71
109117,8,-2594.926550,1,153,283.69
118459,1,-2594.834631,1,154,285.59
118462,1,-2594.797240,1,152,282.19
125249,1,-2594.791991,1,152,280.80
125252,1,-2594.721243,1,153,282.68
130525,1,-2594.826766,1,153,282.57
130528,1,-2594.775046,1,153,282.70
136557,1,-2594.786124,1,153,285.35
155897,2,-2594.805274,1,152,282.01
162065,2,-2594.812178,1,152,280.92
162409,2,-2594.798888,1,151,281.62
169584,2,-2594.803572,1,153,283.93
202698,2,-2594.759032,1,152,280.93
207927,5,-2594.808463,1,154,287.23
233053,2,-2594.748366,1,153,285.19
233056,2,-2594.653304,1,152,282.23
244357,5,-2594.819525,1,153,285.32
244366,2,-2594.751441,1,152,280.79
277924,6,-2594.814360,1,154,284.51
278046,3,-2594.733778,1,155,286.31
278066,5,-2594.742194,1,153,282.59
278069,6,-2594.748457,1,151,280.23
300882,1,-2594.718405,1,151,283.96
301764,1,-2594.758826,1,153,283.97
312919,1,-2594.770407,1,154,285.39
312949,1,-2594.760428,1,153,283.84
312950,1,-2594.709853,1,154,285.62
316444,1,-2594.713690,1,152,282.22
321728,1,-2594.762801,1,153,282.73
321735,1,-2594.775351,1,157,291.22
343041,2,-2594.820479,1,151,281.87
349456,2,-2594.735312,1,153,282.76
353052,2,-2594.770400,1,154,285.93
353610,3,-2594.812148,1,152,280.86
353734,2,-2594.771819,1,151,283.15
353742,2,-2594.801939,1,151,279.17
353744,2,-2594.828398,1,153,282.76
353920,2,-2594.717520,1,152,281.05
355126,2,-2594.765151,1,153,283.98
355718,3,-2594.761755,1,155,287.55
355746,3,-2594.780234,1,153,283.99
363166,1,-2594.750960,1,148,273.72
365888,1,-2594.828719,1,152,282.18
375258,1,-2594.859015,1,154,284.28
375337,1,-2594.801970,1,151,279.06
375339,1,-2594.772688,1,153,285.10
375343,1,-2594.814688,1,152,282.08
375345,1,-2594.712141,1,151,279.14
379481,1,-2594.777304,1,153,282.68
379861,1,-2594.792220,1,154,284.41
390408,1,-2594.689772,1,151,280.29
397877,1,-2594.748755,1,152,280.90
404855,1,-2594.706961,1,152,280.75
410697,1,-2594.728667,1,152,282.05
411128,1,-2594.715559,1,152,282.23
414073,1,-2594.758124,1,150,277.21
414356,1,-2594.753920,1,154,284.50
900000,0,-2594.681342,1,157,289.79
900001,0,-2594.681311,1,157,292.42
900002,0,-2594.681303,1,157,291.08
900003,0,-2594.661063,1,153,282.67
900004,0,-2594.661040,1,153,282.60
900005,0,-2594.661047,1,153,283.82
900006,0,-2594.630225,1,153,283.65
900007,0,-2594.635191,1,152,283.25
900008,0,-2594.733725,1,149,275.49
900009,0,-2594.673834,1,153,282.41
900010,0,-2594.618613,1,152,284.64
900011,0,-2594.707114,1,152,281.92
900012,0,-2594.693213,1,155,286.26
900013,0,-2594.670996,1,153,283.82
900014,0,-2594.620451,1,153,285.09
900015,0,-2594.707633,1,153,282.73
900016,0,-2594.688269,1,152,282.10
900017,0,-2594.732527,1,154,285.56
900018,0,-2594.692183,1,152,280.80
900019,0,-2594.699080,1,153,282.57
900020,0,-2594.625723,1,154,287.13
900021,0,-2594.646292,1,154,285.62
900022,0,-2594.735602,1,155,289.71
900023,0,-2594.663733,1,153,283.81
900024,0,-2594.707518,1,154,285.82
900025,0,-2594.646643,1,154,284.51
900026,0,-2594.736899,1,155,286.21
900027,0,-2594.669409,1,154,284.35
900028,0,-2594.711386,1,155,290.08
900029,0,-2594.714201,1,152,282.39
900030,0,-2594.699561,1,152,283.53
900031,0,-2594.771605,1,153,286.63
900032,0,-2594.699561,1,155,287.46
900033,0,-2594.776152,1,155,287.51
900034,0,-2594.737181,1,153,282.90
900035,0,-2594.725508,1,152,280.79
900036,0,-2594.712988,1,152,283.55
900037,0,-2595.145445,1,182,338.32
900038,0,-2594.702193,1,152,282.19
900039,0,-2594.762534,1,153,282.58
900040,0,-2595.185698,1,172,316.65
900041,0,-2595.142477,1,178,327.49
900042,0,-2594.771620,1,155,286.26
900043,0,-2594.744185,1,155,286.28
900044,0,-2594.754790,1,153,282.70
900045,0,-2594.699164,1,151,279.21
900046,0,-2594.771689,1,151,279.21
900047,0,-2594.741690,1,153,282.80
900048,0,-2594.746924,1,152,281.07
900049,0,-2594.692122,1,152,281.05
900050,0,-2594.690230,1,152,283.47
900051,0,-2594.686385,1,152,282.12
900052,0,-2594.653143,1,152,280.69
900053,0,-2594.668631,1,153,283.70
900054,0,-2594.628668,1,152,281.85
900055,0,-2594.701270,1,153,284.84
900056,0,-2594.742377,1,153,283.41
900057,0,-2594.673445,1,151,283.31
900058,0,-2594.644522,1,152,280.62
900059,0,-2594.677992,1,152,280.64
900060,0,-2594.771361,1,154,285.48
900061,0,-2594.646925,1,150,278.31
900062,0,-2594.720450,1,153,282.15
900063,0,-2594.708693,1,152,280.43
900064,0,-2594.755415,1,152,280.55
900065,0,-2594.684371,1,152,280.53
900066,0,-2594.789771,1,153,283.09
900067,0,-2594.696379,1,153,283.16
900068,0,-2595.236182,1,156,287.11
900069,0,-2594.759718,1,153,281.88
900070,0,-2594.741499,1,152,280.12
900071,0,-2594.821875,1,153,281.64
900072,0,-2594.761656,1,152,279.96
900073,0,-2594.829176,1,153,281.70
900074,0,-2594.764342,1,153,281.73
900075,0,-2594.716681,1,151,278.12
900076,0,-2594.732214,1,152,279.94
900077,0,-2594.669577,1,148,272.79
900078,0,-2594.692709,1,155,285.30
900079,0,-2594.766608,1,155,285.29
900080,0,-2594.675490,1,148,272.65
900081,0,-2594.661772,1,152,279.73
900082,0,-2594.719618,1,152,279.58
900083,0,-2594.682929,1,153,281.37
900084,0,-2595.025000,1,186,340.18
900085,0,-2594.642523,1,151,278.68
900086,0,-2594.645964,1,151,278.91
900087,0,-2594.665938,1,153,282.28
